id,x,y,radius,neighbors
1,931,67,11,
2,1009,76,12,
3,426,80,12,
4,1038,99,13,
5,640,121,12,
6,358,127,12,
7,569,125,12,
8,907,130,11,
9,435,131,11,
10,292,142,11,
11,1037,146,12,
12,134,149,11,
13,235,156,11,
14,397,157,11,
15,102,156,12,
16,727,165,12,25
17,958,158,11,
18,1094,159,11,
19,635,168,11,
20,324,169,11,
21,583,184,11,
22,1220,175,12,
23,910,185,11,
24,425,192,11,
25,709,195,11,16 41
26,1024,199,12,
27,1373,192,11,
28,833,199,11,
29,546,205,11,
30,214,211,11,
31,1110,217,12,
32,755,216,11,
33,1293,211,11,63
34,926,222,11,
35,245,244,9,
36,1164,244,11,
37,501,239,11,
38,964,255,10,
39,809,253,12,
40,1220,257,11,
41,663,264,11,25 70 89
42,289,255,11,48 57
43,1339,259,12,
44,141,263,9,
45,867,258,10,
46,1111,262,11,
47,420,268,11,
48,375,272,11,42 57
49,951,273,11,
50,248,285,11,54
51,835,289,11,
52,632,300,11,
53,761,303,11,
54,202,324,11,50
55,1223,315,9,
56,955,315,11,
57,412,315,12,42 48 72
58,1077,318,11,
59,1034,316,11,
60,1137,328,10,
61,1296,326,10,
62,1162,334,11,
63,1238,337,11,33 67 83 87
64,911,342,11,
65,280,350,11,
66,862,353,10,
67,1268,364,11,63 83
68,579,363,11,
69,777,357,11,
70,690,379,11,41 89
71,57,386,12,
72,391,381,11,57 81 82
73,1348,392,12,
74,160,394,11,
75,1144,401,11,
76,859,397,11,
77,594,405,9,
78,299,406,9,
79,1277,414,10,
80,221,411,11,
81,503,405,11,72 82
82,562,422,10,72 81 89 103
83,1180,421,11,63 67 87
84,1368,429,11,
85,146,438,9,
86,793,447,11,
87,1112,447,11,63 83
88,101,455,12,
89,770,468,13,41 70 82 95 103
90,1289,476,11,
91,1194,478,11,
92,1248,483,9,
93,866,486,9,
94,113,485,12,
95,1027,495,11,89 123
96,1123,506,12,
97,393,522,9,
98,362,547,9,
99,260,551,12,
100,137,564,11,
101,481,571,10,
102,441,572,13,
103,664,590,11,82 89 108
104,570,588,9,
105,383,598,11,
106,145,614,11,
107,335,622,9,
108,586,632,11,103
109,692,633,9,
110,262,637,9,
111,787,647,11,
112,214,653,9,
113,363,657,9,
114,583,666,9,
115,830,688,9,
116,559,698,9,
117,105,709,9,
118,895,706,11,
119,614,720,9,
120,416,733,11,
121,479,736,9,
122,1191,741,13,125
123,1000,738,11,95 124 125 132 135
124,939,744,11,123 131 135
125,1098,758,9,122 123
126,96,749,9,
127,555,777,10,
128,813,785,9,130 131
129,455,775,11,
130,723,774,9,128
131,846,783,9,124 128
132,1012,794,11,123 135 147
133,1178,802,10,
134,498,801,9,
135,985,817,9,123 124 132 147
136,852,826,11,
137,1044,827,9,
138,538,828,9,
139,430,831,11,146
140,292,838,11,146
141,745,850,9,
142,477,855,11,
143,827,859,9,
144,168,865,17,
145,1132,872,11,
146,386,886,11,139 140
147,1029,905,10,132 135
148,471,907,11,
149,590,921,12,
150,796,916,9,
151,639,934,9,
152,309,946,11,
153,691,953,12,
