id,x,y,radius,neighbors
1,949,69,11,2 8 28
2,1028,78,12,1 4
3,436,82,12,6 9
4,1059,103,13,2 11
5,654,125,12,7 19
6,366,128,12,3 10 14 20
7,581,134,12,5 9 21 24
8,925,133,11,1 17 23 28
9,446,132,11,3 7 14 24
10,299,142,11,6 13 20 35
11,1054,148,12,4 18 26
12,134,160,11,13 15 30
13,236,160,11,10 12 30
14,405,158,11,6 9 24
15,95,164,12,12 44
16,740,164,12,25 28 32 39
17,976,163,11,8 23 26
18,1114,162,11,11 26 31
19,646,172,11,5 21
20,327,178,11,6 10
21,594,186,11,7 19 29
22,1243,179,12,33 40
23,927,188,11,8 17 34
24,433,195,11,7 9 14
25,726,198,11,16 32 41
26,1044,202,12,11 17 18 38 49
27,1396,193,11,33 43
28,846,201,11,1 8 16 39 45
29,558,209,11,21 37
30,207,215,11,12 13 35 44 50
31,1125,214,12,18 46
32,770,220,11,16 25
33,1319,225,11,22 27 40 43 55 63
34,946,228,11,23 38
35,240,251,9,10 30 42 50 54
36,1188,249,11,40 46
37,510,242,11,29 47
38,984,259,10,26 34 49
39,827,258,12,16 28 45 51 53
40,1243,265,11,22 33 36 55
41,675,262,11,25 52 70 89
42,290,262,11,35 48 50 57
43,1367,265,12,27 33
44,139,263,9,15 30 54
45,879,269,10,28 39 49 51
46,1133,264,11,31 36
47,427,271,11,37 48 57 72
48,380,275,11,42 47 57
49,973,278,11,26 38 45 56
50,250,287,11,30 35 42 54 65
51,851,298,11,39 45
52,644,304,11,41 68
53,776,308,11,39 69
54,202,318,11,35 44 50
55,1244,318,9,33 40 62 63
56,974,321,11,49 59 64
57,414,325,12,42 47 48 72
58,1102,323,11,59 60
59,1056,318,11,56 58
60,1156,340,10,58 62
61,1322,333,10,63 67
62,1188,338,11,55 60 63 75
63,1264,347,11,33 55 61 62 67 83 87
64,931,348,11,56 66 76
65,281,354,11,50 78
66,871,350,10,64 69 76
67,1299,373,11,61 63 79 83
68,590,369,11,52 77 81 82
69,795,371,11,53 66 70 86 89
70,704,384,11,41 69 77 89
71,50,397,12,74 88
72,405,394,11,47 57 78 81 82
73,1378,400,12,79 84
74,160,403,11,71 80 85 88
75,1170,408,11,62 83 87
76,881,409,11,64 66 86 93
77,612,408,9,68 70 82
78,304,409,9,65 72 80
79,1303,416,10,67 73 84 90
80,215,418,11,74 78
81,512,427,11,68 72 82
82,571,438,10,68 72 77 81 89 103
83,1211,439,11,63 67 75 87 91
84,1397,437,11,73 79
85,132,447,9,74 88 94
86,808,457,11,69 76 89 93
87,1132,458,11,63 75 83 91 95 96
88,94,458,12,71 74 85 94
89,784,477,13,41 69 70 82 86 93 95 103 109 111
90,1319,485,11,79 92
91,1221,488,11,83 87 92 96 122
92,1277,489,9,90 91
93,886,497,9,76 86 89 111
94,105,494,12,85 88 100 106
95,1048,505,11,87 89 96 118 123
96,1145,514,12,87 91 95 122
97,397,533,9,98 102
98,365,557,9,97 99 105
99,260,562,12,98 105 107 110
100,123,575,11,94 106
101,487,583,10,102 104 108
102,442,587,13,97 101 105
103,674,595,11,82 89 108 109
104,579,600,9,101 108 114
105,384,613,11,98 99 102 107 113
106,135,626,11,94 100 112 117 126
107,334,635,9,99 105 110 113
108,591,640,11,101 103 104 109 114
109,707,648,9,89 103 108 111 115
110,255,651,9,99 107 112 113
111,802,663,11,89 93 109 115
112,205,674,9,106 110
113,356,681,9,105 107 110 120
114,589,681,9,104 108 116 119
115,852,709,9,109 111 118
116,563,720,9,114 119
117,86,724,9,106 126
118,912,724,11,95 115 123 124
119,622,740,9,114 116
120,422,750,11,113 121 129 139
121,482,760,9,120 129
122,1226,768,13,91 96 125 133
123,1032,765,11,95 118 124 125 132 135
124,963,770,11,118 123 131 135 147
125,1126,777,9,122 123 132 137
126,81,776,9,106 117 144
127,563,798,10,134 138
128,830,807,9,130 131 136
129,461,803,11,120 121 134 139
130,730,804,9,128 141 150
131,872,805,9,124 128 136
132,1045,810,11,123 125 135 137 147
133,1214,824,10,122 145
134,503,829,9,127 129 138
135,1007,848,9,123 124 132 137 147
136,880,859,11,128 131 143
137,1072,852,9,125 132 135 145 147
138,543,856,9,127 134 142 149
139,435,868,11,120 129 142 146 148
140,284,871,11,146 152
141,761,878,9,130 150 153
142,484,887,11,138 139 148 149
143,852,893,9,136 150
144,137,898,17,126
145,1162,901,11,133 137 147
146,377,911,11,139 140 148 152
147,1058,933,10,124 132 135 137 145
148,463,934,11,139 142 146 152
149,596,950,12,138 142 151 153
150,816,954,9,130 141 143 153
151,645,967,9,149 153
152,294,989,11,140 146 148
153,705,998,12,141 149 150 151
