id,x,y,radius,neighbors
1,915,64,11,2 8
2,986,74,12,1 4
3,424,80,12,6 9
4,1019,94,13,2 11
5,625,112,12,7 19
6,356,120,12,3 10 14 20
7,559,123,12,5 21
8,889,125,11,1 17 23
9,432,126,11,3 14 24
10,286,140,11,6 13 20
11,1016,140,12,4 18 26
12,138,145,11,13 15 30
13,231,153,11,10 12 30
14,392,153,11,6 9 24
15,100,152,12,12 44
16,715,155,12,25 32
17,942,155,11,8 23 26
18,1073,162,11,11 31
19,627,162,11,5 21
20,316,170,11,6 10
21,576,174,11,7 19 29
22,1196,173,12,33 40
23,894,178,11,8 17 34
24,422,185,11,9 14
25,698,187,11,16 32 41
26,1003,189,12,11 17
27,1343,189,11,33 43
28,822,191,11,39 45
29,540,199,11,21 37
30,211,200,11,12 13 35 44 50
31,1087,203,12,18 46
32,738,205,11,16 25
33,1262,215,11,22 27 40 43
34,908,217,11,23 38
35,240,235,9,30 42 50 54
36,1139,236,11,40 46
37,496,239,11,29 47
38,946,247,10,34 49
39,796,247,12,28 45 51 53
40,1193,249,11,22 33 36 55
41,656,254,11,25 52
42,283,255,11,35 50
43,1306,256,12,27 33
44,137,257,9,15 30 54
45,850,258,10,28 39 51
46,1090,257,11,31 36
47,415,261,11,37 48 57
48,369,268,11,47 57
49,931,267,11,38 56
50,247,276,11,30 35 42 54 65
51,818,281,11,39 45
52,621,291,11,41 68
53,744,293,11,39 69
54,202,306,11,35 44 50
55,1194,309,9,40 62 63
56,937,311,11,49 59 64
57,400,312,12,47 48 72
58,1054,311,11,59 60
59,1013,312,11,56 58
60,1109,323,10,58 62
61,1267,322,10,63 67
62,1137,329,11,55 60
63,1208,332,11,55 61 67
64,892,337,11,56 66 76
65,276,342,11,50 78
66,839,343,10,64 69 76
67,1240,350,11,61 63 79
68,568,353,11,52 77 81 82
69,764,353,11,53 66 70 86
70,676,369,11,69 77
71,60,374,12,74 88
72,386,376,11,57 78
73,1316,385,12,79 84
74,159,387,11,71 80 85
75,1114,391,11,83 87
76,843,391,11,64 66 93
77,588,393,9,68 70 82
78,294,395,9,65 72 80
79,1246,403,10,67 73 84 90
80,220,406,11,74 78
81,494,406,11,68 82
82,550,416,10,68 77 81
83,1157,419,11,75 91
84,1336,419,11,73 79
85,147,428,9,74 88 94
86,771,434,11,69 89 93
87,1086,442,11,75 95 96
88,99,448,12,71 85 94
89,755,462,13,86 93
90,1256,467,11,79 92
91,1166,470,11,83 92 96
92,1219,472,9,90 91
93,849,473,9,76 86 89
94,112,477,12,85 88 100 106
95,1006,490,11,87 96
96,1097,494,12,87 91 95
97,386,511,9,98 102
98,355,535,9,97 105
99,255,539,12,107 110
100,133,555,11,94 106
101,473,557,10,102 104
102,431,560,13,97 101 105
103,649,576,11,108 109
104,559,576,9,101 108 114
105,376,589,11,98 102 107 113
106,144,603,11,94 100 112 117 126
107,327,608,9,99 105 110 113
108,570,616,11,103 104 114
109,679,624,9,103 111
110,259,623,9,99 107 112
111,769,633,11,109 115
112,206,646,9,106 110
113,354,646,9,105 107
114,568,650,9,104 108 116 119
115,811,677,9,111 118
116,548,688,9,114 119
117,100,695,9,106 126
118,876,693,11,115 124
119,601,703,9,114 116
120,410,718,11,121 129
121,469,726,9,120 129
122,1167,726,13,125 133
123,979,729,11,124 132
124,921,733,11,118 123
125,1071,739,9,122 132 137
126,93,741,9,106 117 144
127,541,763,10,134 138
128,797,764,9,130 131 136
129,446,767,11,120 121 134 139
130,708,767,9,128 141
131,829,764,9,128 136
132,989,779,11,123 125 135 137
133,1149,788,10,122 145
134,488,790,9,127 129 138
135,961,803,9,132 137 147
136,839,810,11,128 131 143
137,1021,813,9,125 132 135 145 147
138,530,815,9,127 134 149
139,417,820,11,129 142 146 148
140,283,828,11,146 152
141,726,835,9,130 150
142,469,846,11,139 148
143,814,847,9,136 150
144,147,842,17,126
145,1102,856,11,133 137
146,372,867,11,139 140 148 152
147,1005,884,10,135 137
148,454,892,11,139 142 146
149,576,906,12,138 151 153
150,782,902,9,141 143
151,622,922,9,149 153
152,299,937,11,140 146
153,676,942,12,149 151
