id,x,y,radius,neighbors
1,424,79,12,
2,949,69,11,
3,1028,78,12,
4,1059,103,13,
5,353,119,12,
6,434,128,11,
7,562,123,12,
8,628,114,12,
9,99,153,12,
10,143,146,11,
11,233,151,11,
12,289,142,11,
13,392,153,11,
14,719,152,12,43
15,925,133,11,
16,1054,148,12,
17,317,172,11,
18,573,173,11,
19,624,158,11,
20,976,163,11,
21,1114,162,11,
22,1243,179,12,
23,211,202,11,
24,424,184,11,
25,543,198,11,
26,696,187,11,
27,738,202,11,
28,817,191,11,
29,927,188,11,
30,1044,202,12,
31,1396,193,11,
32,1125,214,12,
33,1319,225,11,84
34,242,237,9,
35,498,238,11,
36,796,246,12,
37,946,228,11,
38,1188,249,11,
39,139,263,9,
40,282,259,11,64 71
41,368,266,11,
42,419,259,11,
43,682,263,11,14 87
44,851,257,10,
45,984,259,10,
46,1133,264,11,
47,1243,265,11,
48,1367,265,12,
49,247,279,11,54
50,621,288,11,
51,748,292,11,
52,819,282,11,
53,973,278,11,
54,203,303,11,49
55,397,311,12,
56,974,321,11,
57,1056,318,11,
58,1102,323,11,
59,1244,318,9,
60,1156,340,10,
61,1188,338,11,
62,1264,347,11,
63,1322,333,10,
64,58,365,12,40
65,281,354,11,
66,565,353,11,
67,768,352,11,
68,871,350,10,
69,931,348,11,
70,157,388,11,
71,384,376,11,40 76 87 93
72,846,388,11,
73,1299,373,11,
74,222,408,11,
75,296,399,9,
76,493,402,11,71
77,549,416,10,
78,588,398,9,
79,1170,408,11,
80,1303,416,10,
81,1378,400,12,
82,143,427,9,
83,777,428,11,
84,1211,439,11,33 94
85,1397,437,11,
86,98,449,12,
87,757,463,13,43 71 94 111
88,1132,458,11,
89,851,472,9,
90,1221,488,11,
91,1277,489,9,
92,1319,485,11,
93,386,511,9,71
94,1048,505,11,84 87 120
95,1145,514,12,
96,257,532,12,
97,352,530,9,
98,134,551,12,
99,430,556,13,
100,475,557,10,
101,377,584,11,
102,652,575,11,
103,146,599,11,
104,223,605,11,
105,325,605,9,
106,579,600,9,
107,265,620,9,
108,682,622,11,
109,209,647,9,
110,349,650,9,
111,487,656,12,87 120 122
112,770,637,9,
113,836,637,11,
114,95,685,9,
115,551,688,9,
116,871,692,9,
117,409,719,11,
118,472,722,9,
119,925,731,11,
120,980,724,11,94 111 121 147
121,1169,727,13,120
122,91,745,9,111
123,574,743,9,
124,622,740,9,
125,1075,740,9,
126,445,763,11,
127,542,763,10,
128,716,769,9,
129,773,766,9,
130,835,767,9,
131,986,768,11,
132,415,799,11,
133,488,788,9,
134,1159,787,11,
135,267,827,11,
136,530,812,9,
137,839,811,11,
138,958,806,9,
139,1016,806,11,
140,467,844,11,
141,737,845,9,
142,391,872,11,
143,839,854,9,
144,1103,857,9,
145,448,890,11,
146,572,899,12,
147,1003,881,10,120
148,620,919,9,
149,301,932,11,
150,811,934,9,
151,686,958,12,
