id,x,y,radius,neighbors
1,424,79,12,5 6
2,949,69,11,3 15 28
3,1028,78,12,2 4
4,1059,103,13,3 16
5,353,119,12,1 12 13 17
6,434,128,11,1 7 13 24
7,562,123,12,6 8 18 24
8,628,114,12,7 19
9,99,153,12,10 39
10,143,146,11,9 11 23
11,233,151,11,10 12 23
12,289,142,11,5 11 17 34
13,392,153,11,5 6 24
14,719,152,12,26 27 28 36
15,925,133,11,2 20 28 29
16,1054,148,12,4 21 30
17,317,172,11,5 12
18,573,173,11,7 19 25
19,624,158,11,8 18
20,976,163,11,15 29 30
21,1114,162,11,16 30 32
22,1243,179,12,33 47
23,211,202,11,10 11 34 39 49
24,424,184,11,6 7 13
25,543,198,11,18 35
26,696,187,11,14 27 43
27,738,202,11,14 26
28,817,191,11,2 14 15 36 44
29,927,188,11,15 20 37
30,1044,202,12,16 20 21 45 53
31,1396,193,11,33 48
32,1125,214,12,21 46
33,1319,225,11,22 31 47 48 59 62
34,242,237,9,12 23 40 49 54
35,498,238,11,25 42
36,796,246,12,14 28 44 51 52
37,946,228,11,29 45
38,1188,249,11,46 47
39,139,263,9,9 23 54
40,282,259,11,34 41 49 55
41,368,266,11,40 42 55
42,419,259,11,35 41 55 71
43,682,263,11,26 50 87
44,851,257,10,28 36 52 53
45,984,259,10,30 37 53
46,1133,264,11,32 38
47,1243,265,11,22 33 38 59
48,1367,265,12,31 33
49,247,279,11,23 34 40 54 65
50,621,288,11,43 66
51,748,292,11,36 67
52,819,282,11,36 44
53,973,278,11,30 44 45 56
54,203,303,11,34 39 49
55,397,311,12,40 41 42 71
56,974,321,11,53 57 69
57,1056,318,11,56 58
58,1102,323,11,57 60
59,1244,318,9,33 47 61 62
60,1156,340,10,58 61
61,1188,338,11,59 60 62 79
62,1264,347,11,33 59 61 63 73 84 88
63,1322,333,10,62 73
64,58,365,12,70 86
65,281,354,11,49 75
66,565,353,11,50 76 77 78
67,768,352,11,51 68 83 87
68,871,350,10,67 69 72
69,931,348,11,56 68 72
70,157,388,11,64 74 82 86
71,384,376,11,42 55 75 76 77
72,846,388,11,68 69 83 89
73,1299,373,11,62 63 80 84
74,222,408,11,70 75
75,296,399,9,65 71 74
76,493,402,11,66 71 77
77,549,416,10,66 71 76 78 87 108
78,588,398,9,66 77
79,1170,408,11,61 84 88
80,1303,416,10,73 81 85 92
81,1378,400,12,80 85
82,143,427,9,70 86 98
83,777,428,11,67 72 87 89
84,1211,439,11,62 73 79 88 90
85,1397,437,11,80 81
86,98,449,12,64 70 82 98
87,757,463,13,43 67 77 83 89 94 108 112 113
88,1132,458,11,62 79 84 90 94 95
89,851,472,9,72 83 87 113
90,1221,488,11,84 88 91 95 121
91,1277,489,9,90 92
92,1319,485,11,80 91
93,386,511,9,97 99
94,1048,505,11,87 88 95 119 131
95,1145,514,12,88 90 94 121
96,257,532,12,97 101 105 107
97,352,530,9,93 96 101
98,134,551,12,82 86 103 104
99,430,556,13,93 100 101
100,475,557,10,99 102 106
101,377,584,11,96 97 99 105 110
102,652,575,11,100 106 108 112 115
103,146,599,11,98 104 109 114 122
104,223,605,11,98 103
105,325,605,9,96 101 107 110
106,579,600,9,100 102 115
107,265,620,9,96 105 109 110
108,682,622,11,77 87 102 112
109,209,647,9,103 107
110,349,650,9,101 105 107 117
111,487,656,12,
112,770,637,9,87 102 108 113 116
113,836,637,11,87 89 112 116
114,95,685,9,103 122
115,551,688,9,102 106 123 124
116,871,692,9,112 113 119
117,409,719,11,110 118 126 132
118,472,722,9,117 126
119,925,731,11,94 116 120 131
120,980,724,11,119 130 131 138 147
121,1169,727,13,90 95 125
122,91,745,9,103 114
123,574,743,9,115 124
124,622,740,9,115 123
125,1075,740,9,121 131 139 144
126,445,763,11,117 118 132 133
127,542,763,10,133 136
128,716,769,9,129 141 150
129,773,766,9,128 130 137
130,835,767,9,120 129 137
131,986,768,11,94 119 120 125 138 139
132,415,799,11,117 126 140 142 145
133,488,788,9,126 127 136
134,1159,787,11,144 147
135,267,827,11,142 149
136,530,812,9,127 133 140 146
137,839,811,11,129 130 143
138,958,806,9,120 131 139 144 147
139,1016,806,11,125 131 138 144 147
140,467,844,11,132 136 145 146
141,737,845,9,128 150 151
142,391,872,11,132 135 145 149
143,839,854,9,137 150
144,1103,857,9,125 134 138 139 147
145,448,890,11,132 140 142 149
146,572,899,12,136 140 148 151
147,1003,881,10,120 134 138 139 144
148,620,919,9,146 151
149,301,932,11,135 142 145
150,811,934,9,128 141 143 151
151,686,958,12,141 146 148 150
