id,x,y,radius,neighbors
1,915,64,11,2 8
2,987,74,12,1 4 11
3,424,80,12,6 9
4,1018,95,13,2 11
5,626,112,12,7 19
6,356,119,12,3 10 14 20
7,559,123,12,5 21
8,889,125,11,1 17 23
9,431,127,11,3 14 24
10,286,140,11,6 13 20
11,1016,140,12,2 4 18 26
12,137,145,11,13 15 30
13,231,151,11,10 12 30
14,393,152,11,6 9 24
15,100,153,12,12 44
16,715,154,12,25 32
17,941,155,11,8 23 26
18,1073,161,11,11 31
19,627,163,11,5 21
20,315,170,11,6 10
21,575,173,11,7 19 29
22,1195,173,12,33 40
23,893,178,11,8 17 34
24,422,184,11,9 14
25,698,187,11,16 32 41
26,1004,189,12,11 17
27,1343,189,11,33 43
28,821,191,11,39 45
29,541,199,11,21 37
30,211,200,11,12 13 35 44 50
31,1088,205,12,18 46
32,739,206,11,16 25
33,1262,215,11,22 27 40 43
34,907,218,11,23 38
35,239,236,9,30 42 50 54
36,1139,236,11,40 46
37,495,239,11,29 47
38,946,247,10,34 49
39,797,248,12,28 45 51 53
40,1193,249,11,22 33 36 55
41,656,253,11,25 52
42,284,254,11,35 50
43,1305,255,12,27 33
44,137,256,9,15 30 54
45,850,257,10,28 39 51
46,1089,257,11,31 36
47,415,261,11,37 48 57
48,370,267,11,47 57
49,931,267,11,38 56
50,247,277,11,30 35 42 54 65
51,818,281,11,39 45
52,621,291,11,41 68
53,745,293,11,39 69
54,202,305,11,35 44 50
55,1193,308,9,40 62 63
56,937,310,11,49 59 64
57,401,311,12,47 48 72
58,1054,311,11,59 60
59,1013,313,11,56 58
60,1108,322,10,58 62
61,1267,322,10,63 67
62,1137,329,11,55 60
63,1208,331,11,55 61 67
64,892,337,11,56 66 76
65,275,343,11,50 78
66,839,343,10,64 69 76
67,1240,350,11,61 63 79
68,568,353,11,52 77 81 82
69,764,355,11,53 66 70 86
70,676,369,11,69 77
71,59,375,12,74 88
72,388,377,11,57 78
73,1315,385,12,79 84
74,157,386,11,71 80 85
75,1115,389,11,83 87
76,842,392,11,64 66 93
77,586,395,9,68 70 82
78,296,397,9,65 72 80
79,1246,403,10,67 73 84 90
80,220,406,11,74 78
81,494,406,11,68 82
82,549,416,10,68 77 81
83,1157,419,11,75 91
84,1336,419,11,73 79
85,145,428,9,74 88 94
86,771,434,11,69 89 93
87,1085,441,11,75 95 96
88,100,448,12,71 85 94
89,755,461,13,86 93
90,1256,467,11,79 92
91,1166,470,11,83 92 96
92,1219,472,9,90 91
93,849,473,9,76 86 89
94,111,477,12,85 88 100 106
95,1005,490,11,87 96
96,1096,494,12,87 91 95
97,386,511,9,98 102
98,355,535,9,97 105
99,254,538,12,107 110
100,133,555,11,94 106
101,472,556,10,102 104
102,431,560,13,97 101 105
103,649,575,11,108 109
104,559,577,9,101 108 114
105,376,590,11,98 102 107 113
106,143,603,11,94 100 112 117 126
107,326,607,9,99 105 110 113
108,571,616,11,103 104 114
109,679,621,9,103 111
110,259,623,9,99 107 112
111,769,634,11,109 115
112,206,646,9,106 110
113,352,650,9,105 107
114,568,650,9,104 108 116 119
115,811,676,9,111 118
116,548,688,9,114 119
117,99,693,9,106 126
118,874,693,11,115 124
119,602,703,9,114 116
120,410,718,11,121 129
121,469,727,9,120 129
122,1168,727,13,125 133
123,979,729,11,124 132
124,921,733,11,118 123
125,1071,739,9,122 132 137
126,93,741,9,106 117 144
127,542,763,10,134 138
128,797,764,9,130 131 136
129,445,766,11,120 121 134 139
130,707,767,9,128 141
131,829,767,9,128 136
132,991,779,11,123 125 135 137
133,1151,787,10,122 145
134,489,790,9,127 129 138 142
135,959,806,9,132 137 147
136,838,811,11,128 131 143
137,1021,812,9,125 132 135 145 147
138,530,815,9,127 134 149
139,417,819,11,129 142 146 148
140,284,829,11,146 152
141,727,836,9,130 150
142,470,845,11,134 139 148
143,814,848,9,136 150
144,151,851,17,126
145,1102,856,11,133 137
146,373,868,11,139 140 148 152
147,1005,884,10,135 137
148,453,891,11,139 142 146
149,577,903,12,138 151 153
150,782,903,9,141 143
151,622,921,9,149 153
152,299,937,11,140 146
153,676,943,12,149 151
